"lemmaID","lemma","POS"
"nlsj11324","ἆ","interjection"
"nlsj13266","ἀᾶ","interjection"
"6","ἀάατος","adjective"
"8","ἀαγής","adjective"
"10","ἀάζω","verb"
"18","ἄαπτος","adjective"
"28","ἄατος","adjective"
"31","ἀάω","verb"
"34","ἀβαθής","adjective"
"nlsj1371","Ἄβαι","proper"
"nlsj1372","Ἀβαῖος","proper"
"nlsj1805","Ἀβακαίνη","proper"
"37","ἀβακέω","verb"
"42","ἀβάκιον","noun"
"43","ἀβακίσκος","noun"
"47","ἀβάκχευτος","adjective"
"50","ἀβαμβάκευτος","adjective"
"nlsj1808","Ἀβαντιάδης","proper"
"nlsj1806","Ἀβαντίδης","proper"
"nlsj1807","Ἀβαντίς","proper"
"51","ἄβαξ","noun"
"52","ἀβάπτιστος","adjective"
"nlsj1809","Ἀβαρβαρέη","proper"
"55","ἀβαρής","adverb"
"nlsj1373","Ἄβαρις","proper"
"nlsj1374","Ἄβαρτος","proper"
"nlsj1370","Ἄβας","proper"
"nlsj1375","Ἄβασα","proper"
"57","ἀβασάνιστος","adjective"
"58","ἀβασίλευτος","adjective"
"60","ἀβάσκανος","adjective"
"62","ἀβάστακτος","adjective"
"nlsj12033","ἄβατον","noun"
"64","ἀβατόομαι","verb"
"65","ἄβατος","adjective"
"nlsj11327","ἀβάω","verb"
"nlsj1810","Ἀββᾶ","proper"
"nlsj1376","Ἄβδηρα","proper"
"nlsj1811","Ἀβδηρίη","proper"
"69","Ἀβδηρίτης","proper"
"nlsj1813","Ἀβδηριτικός","adjective"
"nlsj1377","Ἄβδηρος","proper"
"70","ἄβδης","noun"
"71","ἀβέβαιος","adjective"
"72","ἀβεβαιότης","noun"
"73","ἀβέβηλος","adjective"
"78","ἀβελτερία","noun"
"79","ἀβελτεροκόκκυξ","noun"
"80","ἀβέλτερος","adjective"
"85","ἀβίαστος","adjective"
"nlsj1815","Ἀβίη","proper"
"90","ἄβιος","adjective"
"92","ἀβίοτος","adjective"
"95","ἀβίωτος","adjective"
"96","ἀβλάβεια","noun"
"97","ἀβλαβής","adjective"
"nlsj13311","ἀβλαστής","adjective"
"105","ἄβλαυτος","adjective"
"106","ἀβλεμής","adjective"
"107","ἀβλεννής","adjective"
"108","ἀβλεπτέω","verb"
"110","ἀβλέπτημα","noun"
"113","ἀβλεψία","noun"
"nlsj1380","Ἄβληρος","proper"
"115","ἀβλής","noun"
"117","ἄβλητος","adjective"
"120","ἀβληχρός","adjective"
"124","ἀβοηθησία","noun"
"125","ἀβοήθητος","adjective"
"127","ἀβοητί","adverb"
"130","ἀβολέω","verb"
"134","ἄβολος","adjective"
"nlsj13338","ἀβουκόλητος","adjective"
"nlsj1817","Ἀβουλεύτης","proper"
"144","ἀβούλευτος","adjective"
"145","ἀβουλέω","verb"
"146","ἀβούλητος","adjective"
"147","ἀβουλία","noun"
"nlsj1818","Ἀβουλίτης","proper"
"148","ἄβουλος","adjective"
"150","ἀβούτης","noun"
"152","ἅβρα","noun"
"nlsj1819","Ἀβραδάτας","proper"
"nlsj12045","ἄβραμις","noun"
"158","ἄβρεκτος","adjective"
"nlsj1820","Ἀβρεττηνός","proper"
"161","ἀβριθής","adjective"
"164","ἁβροβάτης","noun"
"165","ἁβρόβιος","adjective"
"167","ἁβρόγοος","adjective"
"170","ἁβροδίαιτος","adjective"
"nlsj1821","Ἀβροκόμης","proper"
"173","ἁβροκόμης","noun"
"nlsj11339","ἁβρόκομος","adjective"
"177","ἄβρομος","adjective"
"180","ἁβροπενθής","adjective"
"182","ἁβρόπηνος","adjective"
"184","ἁβρός","adjective"
"189","ἀβροτάζω","verb"
"190","ἁβρότης","noun"
"191","ἁβρότιμος","adjective"
"196","ἄβροτος","adjective"
"nlsj1822","Ἀβρούπολις","proper"
"199","ἀβροχία","noun"
"203","ἁβροχίτων","noun"
"202","ἄβροχος","adjective"
"204","ἅβρυνα","adjective"
"206","ἁβρύνω","verb"
"209","ἄβρωμος","adjective"
"nlsj1823","Ἀβρώνιχος","proper"
"nlsj885","Ἁβρώνιχος","proper"
"nlsj1824","Ἀβρώτη","proper"
"213","ἄβρωτος","adjective"
"nlsj1825","Ἀβυδηνός","proper"
"nlsj1826","Ἀβυδόθεν","adverb"
"nlsj1827","Ἀβυδόθι","adverb"
"214","Ἄβυδος","proper"
"219","ἀβυρτάκη","noun"
"220","ἀβυρτακοποιός","adjective"
"222","ἄβυσσος","adjective"
"233","ἀγάζω","verb"
"nlsj1917","Ἀγαθάγητος","proper"
"nlsj1918","Ἀγαθαρχίδης","proper"
"nlsj1899","Ἀγάθαρχος","proper"
"nlsj1921","Ἀγάθινος","proper"
"239","ἀγαθίς","adjective"
"243","ἀγαθοδαιμονισταί","noun"
"248","ἀγαθοειδής","adverb"
