"lemmaID","lemma","POS","SW"
"nlsj11324","ἆ","interjection",TRUE
"nlsj13266","ἀᾶ","interjection",TRUE
"6","ἀάατος","adjective",FALSE
"8","ἀαγής","adjective",FALSE
"10","ἀάζω","verb",FALSE
"18","ἄαπτος","adjective",FALSE
"28","ἄατος","adjective",FALSE
"31","ἀάω","verb",FALSE
"34","ἀβαθής","adjective",FALSE
"nlsj1371","Ἄβαι","proper",FALSE
"nlsj1372","Ἀβαῖος","proper",FALSE
"nlsj1805","Ἀβακαίνη","proper",FALSE
"37","ἀβακέω","verb",FALSE
"42","ἀβάκιον","noun",FALSE
"43","ἀβακίσκος","noun",FALSE
"47","ἀβάκχευτος","adjective",FALSE
"50","ἀβαμβάκευτος","adjective",FALSE
"nlsj1808","Ἀβαντιάδης","proper",FALSE
"nlsj1806","Ἀβαντίδης","proper",FALSE
"nlsj1807","Ἀβαντίς","proper",FALSE
"51","ἄβαξ","noun",FALSE
"52","ἀβάπτιστος","adjective",FALSE
"nlsj1809","Ἀβαρβαρέη","proper",FALSE
"55","ἀβαρής","adverb",FALSE
"nlsj1373","Ἄβαρις","proper",FALSE
"nlsj1374","Ἄβαρτος","proper",FALSE
"nlsj1370","Ἄβας","proper",FALSE
"nlsj1375","Ἄβασα","proper",FALSE
"57","ἀβασάνιστος","adjective",FALSE
"58","ἀβασίλευτος","adjective",FALSE
"60","ἀβάσκανος","adjective",FALSE
"62","ἀβάστακτος","adjective",FALSE
"nlsj12033","ἄβατον","noun",FALSE
"64","ἀβατόομαι","verb",FALSE
"65","ἄβατος","adjective",FALSE
"nlsj11327","ἀβάω","verb",FALSE
"nlsj1810","Ἀββᾶ","proper",FALSE
"nlsj1376","Ἄβδηρα","proper",FALSE
"nlsj1811","Ἀβδηρίη","proper",FALSE
"69","Ἀβδηρίτης","proper",FALSE
"nlsj1813","Ἀβδηριτικός","adjective",FALSE
"nlsj1377","Ἄβδηρος","proper",FALSE
"70","ἄβδης","noun",FALSE
"71","ἀβέβαιος","adjective",FALSE
"72","ἀβεβαιότης","noun",FALSE
"73","ἀβέβηλος","adjective",FALSE
"78","ἀβελτερία","noun",FALSE
"79","ἀβελτεροκόκκυξ","noun",FALSE
"80","ἀβέλτερος","adjective",FALSE
"85","ἀβίαστος","adjective",FALSE
"nlsj1815","Ἀβίη","proper",FALSE
"90","ἄβιος","adjective",FALSE
"92","ἀβίοτος","adjective",FALSE
"95","ἀβίωτος","adjective",FALSE
"96","ἀβλάβεια","noun",FALSE
"97","ἀβλαβής","adjective",FALSE
"nlsj13311","ἀβλαστής","adjective",FALSE
"105","ἄβλαυτος","adjective",FALSE
"106","ἀβλεμής","adjective",FALSE
"107","ἀβλεννής","adjective",FALSE
"108","ἀβλεπτέω","verb",FALSE
"110","ἀβλέπτημα","noun",FALSE
"113","ἀβλεψία","noun",FALSE
"nlsj1380","Ἄβληρος","proper",FALSE
"115","ἀβλής","noun",FALSE
"117","ἄβλητος","adjective",FALSE
"120","ἀβληχρός","adjective",FALSE
"124","ἀβοηθησία","noun",FALSE
"125","ἀβοήθητος","adjective",FALSE
"127","ἀβοητί","adverb",FALSE
"130","ἀβολέω","verb",FALSE
"134","ἄβολος","adjective",FALSE
"nlsj13338","ἀβουκόλητος","adjective",FALSE
"nlsj1817","Ἀβουλεύτης","proper",FALSE
"144","ἀβούλευτος","adjective",FALSE
"145","ἀβουλέω","verb",FALSE
"146","ἀβούλητος","adjective",FALSE
"147","ἀβουλία","noun",FALSE
"nlsj1818","Ἀβουλίτης","proper",FALSE
"148","ἄβουλος","adjective",FALSE
"150","ἀβούτης","noun",FALSE
"152","ἅβρα","noun",FALSE
"nlsj1819","Ἀβραδάτας","proper",FALSE
"nlsj12045","ἄβραμις","noun",FALSE
"158","ἄβρεκτος","adjective",FALSE
"nlsj1820","Ἀβρεττηνός","proper",FALSE
"161","ἀβριθής","adjective",FALSE
"164","ἁβροβάτης","noun",FALSE
"165","ἁβρόβιος","adjective",FALSE
"167","ἁβρόγοος","adjective",FALSE
"170","ἁβροδίαιτος","adjective",FALSE
"nlsj1821","Ἀβροκόμης","proper",FALSE
"173","ἁβροκόμης","noun",FALSE
"nlsj11339","ἁβρόκομος","adjective",FALSE
"177","ἄβρομος","adjective",FALSE
"180","ἁβροπενθής","adjective",FALSE
"182","ἁβρόπηνος","adjective",FALSE
"184","ἁβρός","adjective",FALSE
"189","ἀβροτάζω","verb",FALSE
"190","ἁβρότης","noun",FALSE
"191","ἁβρότιμος","adjective",FALSE
"196","ἄβροτος","adjective",FALSE
"nlsj1822","Ἀβρούπολις","proper",FALSE
"199","ἀβροχία","noun",FALSE
"203","ἁβροχίτων","noun",FALSE
"202","ἄβροχος","adjective",FALSE
"204","ἅβρυνα","adjective",FALSE
"206","ἁβρύνω","verb",FALSE
"209","ἄβρωμος","adjective",FALSE
"nlsj1823","Ἀβρώνιχος","proper",FALSE
"nlsj885","Ἁβρώνιχος","proper",FALSE
"nlsj1824","Ἀβρώτη","proper",FALSE
"213","ἄβρωτος","adjective",FALSE
"nlsj1825","Ἀβυδηνός","proper",FALSE
"nlsj1826","Ἀβυδόθεν","adverb",FALSE
"nlsj1827","Ἀβυδόθι","adverb",FALSE
"214","Ἄβυδος","proper",FALSE
"219","ἀβυρτάκη","noun",FALSE
"220","ἀβυρτακοποιός","adjective",FALSE
"222","ἄβυσσος","adjective",FALSE
"233","ἀγάζω","verb",FALSE
"nlsj1917","Ἀγαθάγητος","proper",FALSE
"nlsj1918","Ἀγαθαρχίδης","proper",FALSE
"nlsj1899","Ἀγάθαρχος","proper",FALSE
"nlsj1921","Ἀγάθινος","proper",FALSE
"239","ἀγαθίς","adjective",FALSE
"243","ἀγαθοδαιμονισταί","noun",FALSE
"248","ἀγαθοειδής","adverb",FALSE
"250","ἀγαθοεργέω","verb",FALSE
"251","ἀγαθοεργία","noun",FALSE
"252","ἀγαθοεργός","adjective",FALSE
